datetime,symbol,open,high,low,close
2023-02-06 01:00:00,CRYPTO:SOLUSD,23.4758,23.725,22.5122,22.6795
2023-02-07 01:00:00,CRYPTO:SOLUSD,22.6782,23.9498,22.5555,23.8471
2023-02-08 01:00:00,CRYPTO:SOLUSD,23.8446,24.2151,22.8265,23.2132
2023-02-09 01:00:00,CRYPTO:SOLUSD,23.2107,23.3377,20.0108,20.4757
2023-02-10 01:00:00,CRYPTO:SOLUSD,20.4771,21.1981,19.7,20.119
2023-02-11 01:00:00,CRYPTO:SOLUSD,20.1165,20.9083,20.1091,20.8213
2023-02-12 01:00:00,CRYPTO:SOLUSD,20.8213,22.5225,20.6421,21.5007
2023-02-13 01:00:00,CRYPTO:SOLUSD,21.5091,21.5991,19.7618,20.7817
2023-02-14 01:00:00,CRYPTO:SOLUSD,20.783,22.3719,20.689,21.8445
2023-02-15 01:00:00,CRYPTO:SOLUSD,21.8444,23.9705,21.4654,23.8777
2023-02-16 01:00:00,CRYPTO:SOLUSD,23.8777,24.1418,22.2024,22.2351
2023-02-17 01:00:00,CRYPTO:SOLUSD,22.2379,23.5482,22.0297,23.1492
2023-02-18 01:00:00,CRYPTO:SOLUSD,23.1498,23.9194,22.9294,23.4745
2023-02-19 01:00:00,CRYPTO:SOLUSD,23.472,25.6125,23.2222,24.8345
2023-02-20 01:00:00,CRYPTO:SOLUSD,24.8295,27.0973,24.1246,26.2599
2023-02-21 01:00:00,CRYPTO:SOLUSD,26.2606,26.6026,24.5025,24.9808
2023-02-22 01:00:00,CRYPTO:SOLUSD,24.9808,25.2001,23.2316,24.1651
2023-02-23 01:00:00,CRYPTO:SOLUSD,24.1659,24.689,23.6017,23.9165
2023-02-24 01:00:00,CRYPTO:SOLUSD,23.9165,24.1276,22.495,23.0794
2023-02-25 01:00:00,CRYPTO:SOLUSD,23.0758,23.3212,21.464,22.3951
2023-02-26 01:00:00,CRYPTO:SOLUSD,22.3926,23.5445,22.2395,23.3126
2023-02-27 01:00:00,CRYPTO:SOLUSD,23.31,23.4195,22.3507,22.6988
2023-02-28 01:00:00,CRYPTO:SOLUSD,22.7013,22.8675,21.8687,21.9336
2023-03-01 01:00:00,CRYPTO:SOLUSD,21.9336,22.9028,21.7869,22.5182
2023-03-02 01:00:00,CRYPTO:SOLUSD,22.5182,22.6676,21.6764,21.991
2023-03-03 01:00:00,CRYPTO:SOLUSD,21.996,22.0104,20.4,21.42
2023-03-04 01:00:00,CRYPTO:SOLUSD,21.42,21.62,20.33,20.99
2023-03-05 01:00:00,CRYPTO:SOLUSD,20.99,21.69,20.85,20.98
2023-03-06 01:00:00,CRYPTO:SOLUSD,20.98,21.17,20.48,20.62
2023-03-07 01:00:00,CRYPTO:SOLUSD,20.62,20.95,19.7125,20.235
2023-03-08 01:00:00,CRYPTO:SOLUSD,20.24,20.3775,18.12,18.41
2023-03-09 01:00:00,CRYPTO:SOLUSD,18.41,18.76,16.72,17.34
2023-03-10 01:00:00,CRYPTO:SOLUSD,17.34,18.4,16.02,18.25
2023-03-11 01:00:00,CRYPTO:SOLUSD,18.24,19.07,17.1,18.24
2023-03-12 01:00:00,CRYPTO:SOLUSD,18.24,20.64,17.93,20.34
2023-03-13 01:00:00,CRYPTO:SOLUSD,20.35,21.51,18.92,20.48
2023-03-14 01:00:00,CRYPTO:SOLUSD,20.48,22.16,19.86,20.94
2023-03-15 01:00:00,CRYPTO:SOLUSD,20.94,21.55,18.77,19.32
2023-03-16 01:00:00,CRYPTO:SOLUSD,19.32,19.95,18.97,19.72
2023-03-17 01:00:00,CRYPTO:SOLUSD,19.72,21.71,19.47,21.65
2023-03-18 01:00:00,CRYPTO:SOLUSD,21.65,22.93,21.12,21.26
2023-03-19 01:00:00,CRYPTO:SOLUSD,21.26,22.48,21.25,21.92
2023-03-20 01:00:00,CRYPTO:SOLUSD,21.93,23.98,21.45,22.19
2023-03-21 01:00:00,CRYPTO:SOLUSD,22.19,23.37,21.59,22.62
2023-03-22 01:00:00,CRYPTO:SOLUSD,22.61,23.12,21.02,21.46
2023-03-23 01:00:00,CRYPTO:SOLUSD,21.46,22.77,21.14,22.21
2023-03-24 01:00:00,CRYPTO:SOLUSD,22.21,22.3,20.29,20.69
2023-03-25 01:00:00,CRYPTO:SOLUSD,20.69,20.98,20.13,20.44
2023-03-26 01:00:00,CRYPTO:SOLUSD,20.44,21.15,20.31,20.96
2023-03-27 02:00:00,CRYPTO:SOLUSD,20.97,20.99,19.36,19.91
2023-03-28 02:00:00,CRYPTO:SOLUSD,19.92,20.86,19.63,20.45
2023-03-29 02:00:00,CRYPTO:SOLUSD,20.45,21.55,20.45,21.11
2023-03-30 02:00:00,CRYPTO:SOLUSD,21.11,21.67,20.16,20.55
2023-03-31 02:00:00,CRYPTO:SOLUSD,20.55,21.48,20.05,21.17
2023-04-01 02:00:00,CRYPTO:SOLUSD,21.17,21.33,20.78,21.08
2023-04-02 02:00:00,CRYPTO:SOLUSD,21.08,21.31,20.26,20.53
2023-04-03 02:00:00,CRYPTO:SOLUSD,20.53,21.0,19.99,20.45
2023-04-04 02:00:00,CRYPTO:SOLUSD,20.45,21.25,20.31,20.92
2023-04-05 02:00:00,CRYPTO:SOLUSD,20.92,21.34,20.59,20.98
2023-04-06 02:00:00,CRYPTO:SOLUSD,20.98,20.99,20.47,20.63
2023-04-07 02:00:00,CRYPTO:SOLUSD,20.62,20.78,20.25,20.45
2023-04-08 02:00:00,CRYPTO:SOLUSD,20.46,20.74,19.88,20.05
2023-04-09 02:00:00,CRYPTO:SOLUSD,20.05,20.45,19.89,20.3
2023-04-10 02:00:00,CRYPTO:SOLUSD,20.3,20.96,20.09,20.91
2023-04-11 02:00:00,CRYPTO:SOLUSD,20.91,23.7,20.84,23.01
2023-04-12 02:00:00,CRYPTO:SOLUSD,23.01,24.47,22.34,23.81
2023-04-13 02:00:00,CRYPTO:SOLUSD,23.81,25.29,23.67,24.46
2023-04-14 02:00:00,CRYPTO:SOLUSD,24.46,25.5,23.78,24.75
2023-04-15 02:00:00,CRYPTO:SOLUSD,24.75,24.81,23.84,24.07
2023-04-16 02:00:00,CRYPTO:SOLUSD,24.07,25.49,23.86,25.37
2023-04-17 02:00:00,CRYPTO:SOLUSD,25.36,26.02,24.35,24.59
2023-04-18 02:00:00,CRYPTO:SOLUSD,24.59,25.45,24.02,24.83
2023-04-19 02:00:00,CRYPTO:SOLUSD,24.83,24.99,21.99,22.7
2023-04-20 02:00:00,CRYPTO:SOLUSD,22.7,23.17,21.59,22.2
2023-04-21 02:00:00,CRYPTO:SOLUSD,22.2,22.41,21.01,21.27
2023-04-22 02:00:00,CRYPTO:SOLUSD,21.27,22.0,21.06,21.81
2023-04-23 02:00:00,CRYPTO:SOLUSD,21.81,22.25,20.98,21.48
2023-04-24 02:00:00,CRYPTO:SOLUSD,21.48,22.01,21.03,21.39
2023-04-25 02:00:00,CRYPTO:SOLUSD,21.39,21.96,20.75,21.93
2023-04-26 02:00:00,CRYPTO:SOLUSD,21.93,22.96,20.4,21.29
2023-04-27 02:00:00,CRYPTO:SOLUSD,21.29,22.51,21.21,22.34
2023-04-28 02:00:00,CRYPTO:SOLUSD,22.34,23.51,22.19,23.37
2023-04-29 02:00:00,CRYPTO:SOLUSD,23.37,23.89,22.95,23.21
2023-04-30 02:00:00,CRYPTO:SOLUSD,23.2,23.99,22.71,22.72
2023-05-01 02:00:00,CRYPTO:SOLUSD,22.73,22.89,21.56,21.98
2023-05-02 02:00:00,CRYPTO:SOLUSD,21.98,22.4,21.77,22.28
2023-05-03 02:00:00,CRYPTO:SOLUSD,22.28,22.31,21.26,22.25
2023-05-04 02:00:00,CRYPTO:SOLUSD,22.25,22.53,21.64,21.76
2023-05-05 02:00:00,CRYPTO:SOLUSD,21.76,23.09,21.66,22.86
2023-05-06 02:00:00,CRYPTO:SOLUSD,22.86,23.26,21.64,22.02
2023-05-07 02:00:00,CRYPTO:SOLUSD,22.02,22.86,21.78,21.78
2023-05-08 02:00:00,CRYPTO:SOLUSD,21.8,21.96,20.15,20.76
2023-05-09 02:00:00,CRYPTO:SOLUSD,20.76,21.16,20.47,20.72
2023-05-10 02:00:00,CRYPTO:SOLUSD,20.72,21.33,19.95,20.97
2023-05-11 02:00:00,CRYPTO:SOLUSD,20.97,20.97,19.77,20.2
2023-05-12 02:00:00,CRYPTO:SOLUSD,20.2,20.97,19.84,20.92
2023-05-13 02:00:00,CRYPTO:SOLUSD,20.91,21.29,20.8,20.86
2023-05-14 02:00:00,CRYPTO:SOLUSD,20.86,21.27,20.64,20.95
2023-05-15 02:00:00,CRYPTO:SOLUSD,20.95,21.52,20.62,21.0
2023-05-16 02:00:00,CRYPTO:SOLUSD,21.0,21.13,20.45,20.68
2023-05-17 02:00:00,CRYPTO:SOLUSD,20.68,21.19,20.44,21.04
2023-05-18 02:00:00,CRYPTO:SOLUSD,21.05,21.09,20.11,20.35
2023-05-19 02:00:00,CRYPTO:SOLUSD,20.35,20.59,20.23,20.35
2023-05-20 02:00:00,CRYPTO:SOLUSD,20.35,20.36,20.11,20.29
2023-05-21 02:00:00,CRYPTO:SOLUSD,20.28,20.39,19.41,19.63
2023-05-22 02:00:00,CRYPTO:SOLUSD,19.62,20.02,19.31,19.54
2023-05-23 02:00:00,CRYPTO:SOLUSD,19.54,20.18,19.43,20.04
2023-05-24 02:00:00,CRYPTO:SOLUSD,20.04,20.07,18.75,19.22
2023-05-25 02:00:00,CRYPTO:SOLUSD,19.22,19.57,18.79,19.26
2023-05-26 02:00:00,CRYPTO:SOLUSD,19.26,19.56,19.1,19.37
2023-05-27 02:00:00,CRYPTO:SOLUSD,19.37,20.53,19.34,20.44
2023-05-28 02:00:00,CRYPTO:SOLUSD,20.44,21.19,20.31,20.81
2023-05-29 02:00:00,CRYPTO:SOLUSD,20.81,20.99,20.28,20.59
2023-05-30 02:00:00,CRYPTO:SOLUSD,20.59,21.41,20.48,21.27
2023-05-31 02:00:00,CRYPTO:SOLUSD,21.27,21.33,20.4,20.83
2023-06-01 02:00:00,CRYPTO:SOLUSD,20.83,20.99,20.42,20.51
2023-06-02 02:00:00,CRYPTO:SOLUSD,20.51,21.37,20.32,21.26
2023-06-03 02:00:00,CRYPTO:SOLUSD,21.26,21.36,20.98,21.2
2023-06-04 02:00:00,CRYPTO:SOLUSD,21.2,22.3,21.05,21.82
2023-06-05 02:00:00,CRYPTO:SOLUSD,21.83,22.06,19.25,20.02
2023-06-06 02:00:00,CRYPTO:SOLUSD,20.02,20.7,19.25,20.43
2023-06-07 02:00:00,CRYPTO:SOLUSD,20.43,20.6,18.63,18.79
2023-06-08 02:00:00,CRYPTO:SOLUSD,18.79,19.1,18.31,18.89
2023-06-09 02:00:00,CRYPTO:SOLUSD,18.9,19.34,17.08,17.38
2023-06-10 02:00:00,CRYPTO:SOLUSD,17.38,17.39,13.25,15.65
2023-06-11 02:00:00,CRYPTO:SOLUSD,15.64,16.17,15.15,15.53
2023-06-12 02:00:00,CRYPTO:SOLUSD,15.54,15.69,14.78,15.2
2023-06-13 02:00:00,CRYPTO:SOLUSD,15.22,15.93,14.83,15.09
2023-06-14 02:00:00,CRYPTO:SOLUSD,15.07,15.38,14.18,14.55
2023-06-15 02:00:00,CRYPTO:SOLUSD,14.55,15.09,14.22,14.83
2023-06-16 02:00:00,CRYPTO:SOLUSD,14.83,15.48,14.47,15.34
2023-06-17 02:00:00,CRYPTO:SOLUSD,15.34,16.11,15.2,15.65
2023-06-18 02:00:00,CRYPTO:SOLUSD,15.65,15.83,15.29,15.43
2023-06-19 02:00:00,CRYPTO:SOLUSD,15.43,16.13,15.37,16.1
2023-06-20 02:00:00,CRYPTO:SOLUSD,16.1,16.68,15.76,16.65
2023-06-21 02:00:00,CRYPTO:SOLUSD,16.65,17.31,16.59,17.16
2023-06-22 02:00:00,CRYPTO:SOLUSD,17.16,17.63,16.44,16.51
2023-06-23 02:00:00,CRYPTO:SOLUSD,16.51,17.37,15.82,17.02
2023-06-24 02:00:00,CRYPTO:SOLUSD,17.02,17.39,16.3,16.51
2023-06-25 02:00:00,CRYPTO:SOLUSD,16.51,17.18,16.44,16.82
2023-06-26 02:00:00,CRYPTO:SOLUSD,16.81,16.99,15.87,16.16
2023-06-27 02:00:00,CRYPTO:SOLUSD,16.16,16.71,16.01,16.43
2023-06-28 02:00:00,CRYPTO:SOLUSD,16.43,16.46,15.64,15.89
2023-06-29 02:00:00,CRYPTO:SOLUSD,15.89,18.07,15.77,17.81
2023-06-30 02:00:00,CRYPTO:SOLUSD,17.81,19.9875,17.2,18.8686
2023-07-01 02:00:00,CRYPTO:SOLUSD,18.8661,18.9926,17.9242,18.6935
2023-07-02 02:00:00,CRYPTO:SOLUSD,18.6935,19.7102,18.5629,19.4537
2023-07-03 02:00:00,CRYPTO:SOLUSD,19.4537,19.6355,18.8837,19.2588
2023-07-04 02:00:00,CRYPTO:SOLUSD,19.2563,19.9125,19.0895,19.1376
2023-07-05 02:00:00,CRYPTO:SOLUSD,19.1401,19.355,18.44,18.9882
