datetime,symbol,open,high,low,close
2024-02-06 01:00:00,CRYPTO:ADAUSD,0.49,0.5,0.49,0.5
2024-02-07 01:00:00,CRYPTO:ADAUSD,0.5,0.5,0.47,0.5
2024-02-08 01:00:00,CRYPTO:ADAUSD,0.5,0.54,0.5,0.53
2024-02-09 01:00:00,CRYPTO:ADAUSD,0.53,0.55,0.53,0.54
2024-02-10 01:00:00,CRYPTO:ADAUSD,0.54,0.56,0.53,0.55
2024-02-11 01:00:00,CRYPTO:ADAUSD,0.55,0.57,0.54,0.54
2024-02-12 01:00:00,CRYPTO:ADAUSD,0.54,0.57,0.53,0.56
2024-02-13 01:00:00,CRYPTO:ADAUSD,0.56,0.56,0.53,0.55
2024-02-14 01:00:00,CRYPTO:ADAUSD,0.55,0.58,0.54,0.58
2024-02-15 01:00:00,CRYPTO:ADAUSD,0.58,0.61,0.57,0.61
2024-02-16 01:00:00,CRYPTO:ADAUSD,0.61,0.61,0.58,0.6
2024-02-17 01:00:00,CRYPTO:ADAUSD,0.6,0.61,0.57,0.61
2024-02-18 01:00:00,CRYPTO:ADAUSD,0.61,0.64,0.61,0.62
2024-02-19 01:00:00,CRYPTO:ADAUSD,0.62,0.64,0.62,0.63
2024-02-20 01:00:00,CRYPTO:ADAUSD,0.63,0.64,0.6,0.62
2024-02-21 01:00:00,CRYPTO:ADAUSD,0.62,0.62,0.57,0.6
2024-02-22 01:00:00,CRYPTO:ADAUSD,0.6,0.61,0.58,0.59
2024-02-23 01:00:00,CRYPTO:ADAUSD,0.59,0.59,0.57,0.58
2024-02-24 01:00:00,CRYPTO:ADAUSD,0.58,0.6,0.57,0.6
2024-02-25 01:00:00,CRYPTO:ADAUSD,0.6,0.6,0.58,0.59
2024-02-26 01:00:00,CRYPTO:ADAUSD,0.59,0.62,0.57,0.62
2024-02-27 01:00:00,CRYPTO:ADAUSD,0.62,0.63,0.61,0.62
2024-02-28 01:00:00,CRYPTO:ADAUSD,0.62,0.66,0.6,0.63
2024-02-29 01:00:00,CRYPTO:ADAUSD,0.63,0.71,0.62,0.66
2024-03-01 01:00:00,CRYPTO:ADAUSD,0.66,0.72,0.65,0.72
2024-03-02 01:00:00,CRYPTO:ADAUSD,0.72,0.76,0.72,0.74
2024-03-03 01:00:00,CRYPTO:ADAUSD,0.74,0.74,0.69,0.73
2024-03-04 01:00:00,CRYPTO:ADAUSD,0.73,0.8,0.72,0.77
2024-03-05 01:00:00,CRYPTO:ADAUSD,0.77,0.78,0.57,0.69
2024-03-06 01:00:00,CRYPTO:ADAUSD,0.69,0.76,0.67,0.74
2024-03-07 01:00:00,CRYPTO:ADAUSD,0.74,0.76,0.72,0.74
2024-03-08 01:00:00,CRYPTO:ADAUSD,0.74,0.76,0.7,0.72
2024-03-09 01:00:00,CRYPTO:ADAUSD,0.72,0.75,0.72,0.74
2024-03-10 01:00:00,CRYPTO:ADAUSD,0.74,0.75,0.7,0.72
2024-03-11 01:00:00,CRYPTO:ADAUSD,0.72,0.79,0.69,0.78
2024-03-12 01:00:00,CRYPTO:ADAUSD,0.78,0.78,0.71,0.75
2024-03-13 01:00:00,CRYPTO:ADAUSD,0.75,0.77,0.74,0.76
2024-03-14 01:00:00,CRYPTO:ADAUSD,0.76,0.81,0.71,0.75
2024-03-15 01:00:00,CRYPTO:ADAUSD,0.75,0.76,0.67,0.73
2024-03-16 01:00:00,CRYPTO:ADAUSD,0.73,0.74,0.65,0.66
