datetime,symbol,open,high,low,close
2023-01-31 01:00:00,CRYPTO:XLMUSD,0.09002857,0.09153473,0.08925128,0.09068777
2023-02-01 01:00:00,CRYPTO:XLMUSD,0.09068102,0.09248359,0.08745584,0.09230172
2023-02-02 01:00:00,CRYPTO:XLMUSD,0.09229325,0.09458699,0.09112864,0.09183585
2023-02-03 01:00:00,CRYPTO:XLMUSD,0.09182985,0.0932628,0.09138323,0.09291157
2023-02-04 01:00:00,CRYPTO:XLMUSD,0.09291882,0.09402982,0.09216935,0.09296462
2023-02-05 01:00:00,CRYPTO:XLMUSD,0.09294262,0.0937906,0.08981188,0.09103725
2023-02-06 01:00:00,CRYPTO:XLMUSD,0.0910355,0.09164862,0.08877377,0.08881112
2023-02-07 01:00:00,CRYPTO:XLMUSD,0.08881212,0.09212637,0.08871312,0.09204948
2023-02-08 01:00:00,CRYPTO:XLMUSD,0.09205473,0.09293244,0.08954982,0.09096057
2023-02-09 01:00:00,CRYPTO:XLMUSD,0.09096183,0.09132473,0.08473042,0.08560546
2023-02-10 01:00:00,CRYPTO:XLMUSD,0.08560796,0.08697652,0.08489331,0.08566345
2023-02-11 01:00:00,CRYPTO:XLMUSD,0.0856662,0.08675244,0.08521618,0.0862088
2023-02-12 01:00:00,CRYPTO:XLMUSD,0.0862173,0.08719968,0.08426877,0.085092
2023-02-13 01:00:00,CRYPTO:XLMUSD,0.085086,0.08567027,0.08211257,0.08516676
2023-02-14 01:00:00,CRYPTO:XLMUSD,0.08518176,0.08600998,0.08307136,0.08599112
2023-02-15 01:00:00,CRYPTO:XLMUSD,0.08598962,0.0902422,0.08477883,0.09022947
2023-02-16 01:00:00,CRYPTO:XLMUSD,0.09023102,0.09112226,0.08639935,0.08640135
2023-02-17 01:00:00,CRYPTO:XLMUSD,0.08641335,0.09083248,0.08594482,0.0907582
2023-02-18 01:00:00,CRYPTO:XLMUSD,0.0907497,0.09324973,0.08973148,0.09182943
2023-02-19 01:00:00,CRYPTO:XLMUSD,0.09183543,0.09359078,0.09002415,0.09060352
2023-02-20 01:00:00,CRYPTO:XLMUSD,0.09061726,0.09492555,0.08881299,0.09440958
2023-02-21 01:00:00,CRYPTO:XLMUSD,0.09440608,0.09787349,0.09347731,0.09483724
2023-02-22 01:00:00,CRYPTO:XLMUSD,0.09485174,0.09504796,0.09036187,0.09237056
2023-02-23 01:00:00,CRYPTO:XLMUSD,0.09237006,0.09315856,0.09029668,0.09097984
2023-02-24 01:00:00,CRYPTO:XLMUSD,0.09097959,0.09162643,0.08773392,0.08908867
2023-02-25 01:00:00,CRYPTO:XLMUSD,0.08909017,0.08957015,0.0865974,0.08799557
2023-02-26 01:00:00,CRYPTO:XLMUSD,0.08800432,0.08904958,0.0871378,0.08896404
2023-02-27 01:00:00,CRYPTO:XLMUSD,0.08896379,0.08937462,0.08707319,0.08830549
2023-02-28 01:00:00,CRYPTO:XLMUSD,0.08830674,0.08851086,0.08589007,0.08708914
2023-03-01 01:00:00,CRYPTO:XLMUSD,0.08709239,0.08865256,0.08668712,0.08806899
2023-03-02 01:00:00,CRYPTO:XLMUSD,0.08808174,0.08821353,0.08622086,0.08749003
