datetime,symbol,open,high,low,close
2022-02-13 01:00:00,CRYPTO:XRPUSD,0.82558,0.8479,0.79319,0.80583
2022-02-14 01:00:00,CRYPTO:XRPUSD,0.80678,0.8126,0.78003,0.8017
2022-02-15 01:00:00,CRYPTO:XRPUSD,0.80186,0.86039,0.79685,0.85139
2022-02-16 01:00:00,CRYPTO:XRPUSD,0.85146,0.85367,0.80908,0.83779
2022-02-17 01:00:00,CRYPTO:XRPUSD,0.83734,0.8453,0.75472,0.76822
2022-02-18 01:00:00,CRYPTO:XRPUSD,0.76872,0.80552,0.75646,0.78504
2022-02-19 01:00:00,CRYPTO:XRPUSD,0.78449,0.85504,0.77057,0.82211
2022-02-20 01:00:00,CRYPTO:XRPUSD,0.82182,0.82343,0.76576,0.77695
2022-02-21 01:00:00,CRYPTO:XRPUSD,0.77711,0.80203,0.69628,0.70253
2022-02-22 01:00:00,CRYPTO:XRPUSD,0.70321,0.72724,0.67048,0.72166
2022-02-23 01:00:00,CRYPTO:XRPUSD,0.72178,0.74422,0.69319,0.69636
2022-02-24 01:00:00,CRYPTO:XRPUSD,0.69651,0.72171,0.62243,0.69621
2022-02-25 01:00:00,CRYPTO:XRPUSD,0.69759,0.7796,0.68329,0.7684
2022-02-26 01:00:00,CRYPTO:XRPUSD,0.7685,0.795,0.7425,0.7496
2022-02-27 01:00:00,CRYPTO:XRPUSD,0.7495,0.7661,0.702,0.7204
2022-02-28 01:00:00,CRYPTO:XRPUSD,0.7202,0.7923,0.7065,0.7799
2022-03-01 01:00:00,CRYPTO:XRPUSD,0.7799,0.8023,0.7558,0.7828
2022-03-02 01:00:00,CRYPTO:XRPUSD,0.7826,0.7832,0.7549,0.7677
2022-03-03 01:00:00,CRYPTO:XRPUSD,0.7675,0.7881,0.7324,0.75
2022-03-04 01:00:00,CRYPTO:XRPUSD,0.7499,0.7524,0.6973,0.7112
2022-03-05 01:00:00,CRYPTO:XRPUSD,0.7112,0.7604,0.7036,0.7526
2022-03-06 01:00:00,CRYPTO:XRPUSD,0.7524,0.7575,0.7197,0.7236
2022-03-07 01:00:00,CRYPTO:XRPUSD,0.7237,0.7524,0.7018,0.7185
2022-03-08 01:00:00,CRYPTO:XRPUSD,0.718,0.7287,0.7116,0.7194
2022-03-09 01:00:00,CRYPTO:XRPUSD,0.7194,0.7738,0.7183,0.7643
2022-03-10 01:00:00,CRYPTO:XRPUSD,0.7644,0.7775,0.7202,0.7348
2022-03-11 01:00:00,CRYPTO:XRPUSD,0.7349,0.8128,0.7238,0.806
2022-03-12 01:00:00,CRYPTO:XRPUSD,0.8057,0.8426,0.779,0.7853
2022-03-13 01:00:00,CRYPTO:XRPUSD,0.7851,0.802,0.75,0.7587
2022-03-14 01:00:00,CRYPTO:XRPUSD,0.7585,0.7759,0.7435,0.7729
2022-03-15 01:00:00,CRYPTO:XRPUSD,0.7728,0.7748,0.7396,0.7644
2022-03-16 01:00:00,CRYPTO:XRPUSD,0.7646,0.7931,0.756,0.7905
2022-03-17 01:00:00,CRYPTO:XRPUSD,0.7905,0.7999,0.7765,0.7923
2022-03-18 01:00:00,CRYPTO:XRPUSD,0.7924,0.7991,0.775,0.7953
2022-03-19 01:00:00,CRYPTO:XRPUSD,0.7955,0.8256,0.7906,0.8182
2022-03-20 01:00:00,CRYPTO:XRPUSD,0.8182,0.821,0.7937,0.8043
2022-03-21 01:00:00,CRYPTO:XRPUSD,0.8042,0.853,0.7863,0.8361
2022-03-22 01:00:00,CRYPTO:XRPUSD,0.836,0.864,0.826,0.8365
2022-03-23 01:00:00,CRYPTO:XRPUSD,0.8363,0.8435,0.8208,0.836
2022-03-24 01:00:00,CRYPTO:XRPUSD,0.8362,0.8486,0.826,0.8415
2022-03-25 01:00:00,CRYPTO:XRPUSD,0.8414,0.8447,0.818,0.8228
2022-03-26 01:00:00,CRYPTO:XRPUSD,0.823,0.8335,0.8186,0.8315
2022-03-27 01:00:00,CRYPTO:XRPUSD,0.8314,0.8564,0.8266,0.8563
2022-03-28 02:00:00,CRYPTO:XRPUSD,0.8561,0.9109,0.8511,0.8631
2022-03-29 02:00:00,CRYPTO:XRPUSD,0.863,0.8843,0.841,0.8564
2022-03-30 02:00:00,CRYPTO:XRPUSD,0.8563,0.8706,0.8445,0.8601
2022-03-31 02:00:00,CRYPTO:XRPUSD,0.86,0.8724,0.7751,0.8136
2022-04-01 02:00:00,CRYPTO:XRPUSD,0.8133,0.8323,0.8057,0.8264
2022-04-02 02:00:00,CRYPTO:XRPUSD,0.8262,0.8483,0.8175,0.8227
2022-04-03 02:00:00,CRYPTO:XRPUSD,0.8228,0.8503,0.8128,0.8417
2022-04-04 02:00:00,CRYPTO:XRPUSD,0.8415,0.8421,0.8031,0.8248
2022-04-05 02:00:00,CRYPTO:XRPUSD,0.8246,0.835,0.8133,0.8152
2022-04-06 02:00:00,CRYPTO:XRPUSD,0.815,0.8169,0.7541,0.758
2022-04-07 02:00:00,CRYPTO:XRPUSD,0.758,0.7895,0.7507,0.7859
2022-04-08 02:00:00,CRYPTO:XRPUSD,0.7856,0.792,0.7446,0.7536
2022-04-09 02:00:00,CRYPTO:XRPUSD,0.7536,0.7652,0.7517,0.7609
2022-04-10 02:00:00,CRYPTO:XRPUSD,0.761,0.7716,0.7512,0.7527
2022-04-11 02:00:00,CRYPTO:XRPUSD,0.7529,0.7542,0.6798,0.6935
2022-04-12 02:00:00,CRYPTO:XRPUSD,0.694,0.7245,0.6906,0.7134
2022-04-13 02:00:00,CRYPTO:XRPUSD,0.7135,0.7235,0.7002,0.7215
2022-04-14 02:00:00,CRYPTO:XRPUSD,0.7212,0.7397,0.7064,0.7244
2022-04-15 02:00:00,CRYPTO:XRPUSD,0.7244,0.796,0.7243,0.7842
2022-04-16 02:00:00,CRYPTO:XRPUSD,0.7844,0.7983,0.7645,0.7792
2022-04-17 02:00:00,CRYPTO:XRPUSD,0.7792,0.7842,0.7467,0.7506
2022-04-18 02:00:00,CRYPTO:XRPUSD,0.7506,0.7681,0.7256,0.7681
2022-04-19 02:00:00,CRYPTO:XRPUSD,0.7683,0.7805,0.7575,0.7733
2022-04-20 02:00:00,CRYPTO:XRPUSD,0.773,0.7736,0.7406,0.7503
2022-04-21 02:00:00,CRYPTO:XRPUSD,0.7502,0.767,0.717,0.7311
2022-04-22 02:00:00,CRYPTO:XRPUSD,0.731,0.7371,0.7118,0.7164
2022-04-23 02:00:00,CRYPTO:XRPUSD,0.7163,0.7253,0.6991,0.7041
2022-04-24 02:00:00,CRYPTO:XRPUSD,0.7041,0.7103,0.6926,0.6966
2022-04-25 02:00:00,CRYPTO:XRPUSD,0.6966,0.6985,0.6439,0.6915
2022-04-26 02:00:00,CRYPTO:XRPUSD,0.6917,0.7055,0.6254,0.6404
2022-04-27 02:00:00,CRYPTO:XRPUSD,0.6405,0.6607,0.6347,0.6508
2022-04-28 02:00:00,CRYPTO:XRPUSD,0.6505,0.6556,0.6314,0.6415
2022-04-29 02:00:00,CRYPTO:XRPUSD,0.6414,0.6448,0.5975,0.6099
2022-04-30 02:00:00,CRYPTO:XRPUSD,0.61,0.6271,0.5638,0.5829
2022-05-01 02:00:00,CRYPTO:XRPUSD,0.583,0.6112,0.5748,0.6056
2022-05-02 02:00:00,CRYPTO:XRPUSD,0.6056,0.6297,0.5966,0.6125
2022-05-03 02:00:00,CRYPTO:XRPUSD,0.6125,0.6263,0.5945,0.6029
2022-05-04 02:00:00,CRYPTO:XRPUSD,0.6032,0.6482,0.6022,0.644
2022-05-05 02:00:00,CRYPTO:XRPUSD,0.644,0.6556,0.5786,0.5965
2022-05-06 02:00:00,CRYPTO:XRPUSD,0.5965,0.6144,0.5854,0.6004
2022-05-07 02:00:00,CRYPTO:XRPUSD,0.6006,0.6026,0.5676,0.5791
2022-05-08 02:00:00,CRYPTO:XRPUSD,0.579,0.5812,0.5558,0.5646
2022-05-09 02:00:00,CRYPTO:XRPUSD,0.5648,0.5771,0.4683,0.4852
2022-05-10 02:00:00,CRYPTO:XRPUSD,0.4855,0.5353,0.4704,0.5115
2022-05-11 02:00:00,CRYPTO:XRPUSD,0.5112,0.5211,0.3629,0.4136
2022-05-12 02:00:00,CRYPTO:XRPUSD,0.4138,0.426,0.3296,0.3826
2022-05-13 02:00:00,CRYPTO:XRPUSD,0.3828,0.4621,0.3784,0.4222
2022-05-14 02:00:00,CRYPTO:XRPUSD,0.4223,0.4385,0.4009,0.4237
2022-05-15 02:00:00,CRYPTO:XRPUSD,0.4237,0.4478,0.4125,0.4458
2022-05-16 02:00:00,CRYPTO:XRPUSD,0.4457,0.4458,0.4066,0.4207
2022-05-17 02:00:00,CRYPTO:XRPUSD,0.4209,0.4381,0.4149,0.4356
2022-05-18 02:00:00,CRYPTO:XRPUSD,0.4356,0.4405,0.4016,0.4033
2022-05-19 02:00:00,CRYPTO:XRPUSD,0.4036,0.4217,0.3902,0.4185
2022-05-20 02:00:00,CRYPTO:XRPUSD,0.4185,0.4384,0.3993,0.408
2022-05-21 02:00:00,CRYPTO:XRPUSD,0.4079,0.4157,0.4008,0.4124
2022-05-22 02:00:00,CRYPTO:XRPUSD,0.4125,0.4235,0.4078,0.4197
2022-05-23 02:00:00,CRYPTO:XRPUSD,0.4196,0.4265,0.3984,0.4028
2022-05-24 02:00:00,CRYPTO:XRPUSD,0.4029,0.4116,0.3887,0.4066
2022-05-25 02:00:00,CRYPTO:XRPUSD,0.4065,0.4114,0.3925,0.4041
2022-05-26 02:00:00,CRYPTO:XRPUSD,0.404,0.4088,0.3734,0.3901
2022-05-27 02:00:00,CRYPTO:XRPUSD,0.3901,0.4011,0.3744,0.3796
2022-05-28 02:00:00,CRYPTO:XRPUSD,0.3799,0.3867,0.3785,0.3845
2022-05-29 02:00:00,CRYPTO:XRPUSD,0.3844,0.389,0.3774,0.3869
2022-05-30 02:00:00,CRYPTO:XRPUSD,0.3872,0.4177,0.3847,0.4168
2022-05-31 02:00:00,CRYPTO:XRPUSD,0.4166,0.4323,0.4046,0.4201
2022-06-01 02:00:00,CRYPTO:XRPUSD,0.4201,0.4246,0.3868,0.3962
2022-06-02 02:00:00,CRYPTO:XRPUSD,0.3963,0.4053,0.3887,0.4034
2022-06-03 02:00:00,CRYPTO:XRPUSD,0.4034,0.4085,0.3819,0.3884
2022-06-04 02:00:00,CRYPTO:XRPUSD,0.3884,0.3925,0.3826,0.3906
2022-06-05 02:00:00,CRYPTO:XRPUSD,0.3906,0.3977,0.3877,0.3935
2022-06-06 02:00:00,CRYPTO:XRPUSD,0.3935,0.4073,0.3923,0.4008
2022-06-07 02:00:00,CRYPTO:XRPUSD,0.4007,0.4151,0.3829,0.4057
2022-06-08 02:00:00,CRYPTO:XRPUSD,0.4056,0.4084,0.3929,0.3986
2022-06-09 02:00:00,CRYPTO:XRPUSD,0.3986,0.4023,0.3946,0.3983
2022-06-10 02:00:00,CRYPTO:XRPUSD,0.3983,0.4097,0.3744,0.3795
2022-06-11 02:00:00,CRYPTO:XRPUSD,0.3795,0.3865,0.3536,0.3577
2022-06-12 02:00:00,CRYPTO:XRPUSD,0.3577,0.3633,0.3378,0.3414
2022-06-13 02:00:00,CRYPTO:XRPUSD,0.3416,0.3486,0.2993,0.3096
2022-06-14 02:00:00,CRYPTO:XRPUSD,0.3091,0.3247,0.2914,0.3194
2022-06-15 02:00:00,CRYPTO:XRPUSD,0.3194,0.3445,0.2956,0.3415
2022-06-16 02:00:00,CRYPTO:XRPUSD,0.3415,0.3453,0.3054,0.311
2022-06-17 02:00:00,CRYPTO:XRPUSD,0.3109,0.3377,0.3084,0.3192
2022-06-18 02:00:00,CRYPTO:XRPUSD,0.3191,0.3244,0.291,0.3054
2022-06-19 02:00:00,CRYPTO:XRPUSD,0.3056,0.3311,0.2961,0.3244
2022-06-20 02:00:00,CRYPTO:XRPUSD,0.3243,0.3267,0.3115,0.3206
2022-06-21 02:00:00,CRYPTO:XRPUSD,0.3205,0.3356,0.3168,0.3274
2022-06-22 02:00:00,CRYPTO:XRPUSD,0.3273,0.3274,0.3172,0.3205
2022-06-23 02:00:00,CRYPTO:XRPUSD,0.3206,0.3349,0.3196,0.3338
2022-06-24 02:00:00,CRYPTO:XRPUSD,0.3338,0.3852,0.333,0.3654
2022-06-25 02:00:00,CRYPTO:XRPUSD,0.3654,0.3723,0.3525,0.366
2022-06-26 02:00:00,CRYPTO:XRPUSD,0.366,0.3731,0.3558,0.3575
2022-06-27 02:00:00,CRYPTO:XRPUSD,0.3574,0.3652,0.3461,0.3517
2022-06-28 02:00:00,CRYPTO:XRPUSD,0.3517,0.3537,0.3335,0.3355
2022-06-29 02:00:00,CRYPTO:XRPUSD,0.3355,0.3395,0.3183,0.3275
2022-06-30 02:00:00,CRYPTO:XRPUSD,0.3275,0.332,0.304,0.3302
2022-07-01 02:00:00,CRYPTO:XRPUSD,0.3297,0.3337,0.3077,0.3118
2022-07-02 02:00:00,CRYPTO:XRPUSD,0.312,0.3159,0.3074,0.3136
2022-07-03 02:00:00,CRYPTO:XRPUSD,0.3136,0.3237,0.3066,0.3196
2022-07-04 02:00:00,CRYPTO:XRPUSD,0.3196,0.3277,0.3128,0.3266
2022-07-05 02:00:00,CRYPTO:XRPUSD,0.3266,0.3288,0.311,0.3232
2022-07-06 02:00:00,CRYPTO:XRPUSD,0.3232,0.3318,0.3179,0.3304
2022-07-07 02:00:00,CRYPTO:XRPUSD,0.3304,0.3436,0.3248,0.3405
2022-07-08 02:00:00,CRYPTO:XRPUSD,0.3406,0.3571,0.3341,0.3385
2022-07-09 02:00:00,CRYPTO:XRPUSD,0.3384,0.3459,0.3375,0.3429
2022-07-10 02:00:00,CRYPTO:XRPUSD,0.3428,0.3432,0.3178,0.3237
2022-07-11 02:00:00,CRYPTO:XRPUSD,0.3235,0.3273,0.3089,0.3133
2022-07-12 02:00:00,CRYPTO:XRPUSD,0.3134,0.3162,0.3058,0.3096
2022-07-13 02:00:00,CRYPTO:XRPUSD,0.3096,0.3243,0.3005,0.3217
2022-07-14 02:00:00,CRYPTO:XRPUSD,0.3217,0.3322,0.3106,0.3318
2022-07-15 02:00:00,CRYPTO:XRPUSD,0.3318,0.3469,0.3257,0.3325
2022-07-16 02:00:00,CRYPTO:XRPUSD,0.3325,0.3544,0.3297,0.3487
2022-07-17 02:00:00,CRYPTO:XRPUSD,0.3487,0.3596,0.3397,0.3416
2022-07-18 02:00:00,CRYPTO:XRPUSD,0.3416,0.3684,0.3414,0.3636
2022-07-19 02:00:00,CRYPTO:XRPUSD,0.3633,0.375,0.3498,0.3713
2022-07-20 02:00:00,CRYPTO:XRPUSD,0.3713,0.3803,0.3559,0.3618
2022-07-21 02:00:00,CRYPTO:XRPUSD,0.3618,0.3668,0.347,0.3653
2022-07-22 02:00:00,CRYPTO:XRPUSD,0.3653,0.3705,0.3526,0.3564
2022-07-23 02:00:00,CRYPTO:XRPUSD,0.3564,0.3613,0.3484,0.3576
2022-07-24 02:00:00,CRYPTO:XRPUSD,0.3576,0.3653,0.3543,0.3571
2022-07-25 02:00:00,CRYPTO:XRPUSD,0.3569,0.3586,0.3335,0.3345
2022-07-26 02:00:00,CRYPTO:XRPUSD,0.3343,0.3368,0.3237,0.3357
2022-07-27 02:00:00,CRYPTO:XRPUSD,0.3357,0.3582,0.3283,0.3577
2022-07-28 02:00:00,CRYPTO:XRPUSD,0.3578,0.3777,0.3477,0.3723
2022-07-29 02:00:00,CRYPTO:XRPUSD,0.3724,0.3785,0.3581,0.367
2022-07-30 02:00:00,CRYPTO:XRPUSD,0.3671,0.4086,0.3617,0.3865
2022-07-31 02:00:00,CRYPTO:XRPUSD,0.3865,0.3972,0.3767,0.3778
2022-08-01 02:00:00,CRYPTO:XRPUSD,0.3777,0.3845,0.3697,0.3776
2022-08-02 02:00:00,CRYPTO:XRPUSD,0.3775,0.3927,0.3654,0.3699
2022-08-03 02:00:00,CRYPTO:XRPUSD,0.3699,0.3757,0.3617,0.3679
2022-08-04 02:00:00,CRYPTO:XRPUSD,0.3678,0.3736,0.3626,0.3694
