datetime,symbol,open,high,low,close,volume
2021-01-31 01:00:00,CRYPTO:SOLUSD,4.23740993,4.80638837,4.13997461,4.25335407,0.0
2021-02-01 01:00:00,CRYPTO:SOLUSD,4.26231763,4.62195132,4.10498707,4.61257294,0.0
2021-02-02 01:00:00,CRYPTO:SOLUSD,4.61412558,5.41012489,4.4614285,5.23836663,0.0
2021-02-03 01:00:00,CRYPTO:SOLUSD,5.234891,5.80359719,5.03899171,5.76036727,0.0
2021-02-04 01:00:00,CRYPTO:SOLUSD,5.73802043,6.54358775,5.56887739,6.42511252,0.0
2021-02-05 01:00:00,CRYPTO:SOLUSD,6.42785135,7.1415007,6.40906083,6.69006526,0.0
2021-02-06 01:00:00,CRYPTO:SOLUSD,6.69252798,6.82865398,5.69083873,6.13287636,0.0
2021-02-07 01:00:00,CRYPTO:SOLUSD,6.14518359,6.91295937,5.75011874,6.70521701,0.0
2021-02-08 01:00:00,CRYPTO:SOLUSD,6.7024004,8.13081786,6.39494225,7.85755959,0.0
2021-02-09 01:00:00,CRYPTO:SOLUSD,7.86910488,8.52311837,7.53774007,7.80627255,0.0
2021-02-10 01:00:00,CRYPTO:SOLUSD,7.82074416,9.10616343,7.3739968,9.09089328,0.0
2021-02-11 01:00:00,CRYPTO:SOLUSD,9.08672521,9.73736181,8.7290734,9.21356784,0.0
2021-02-12 01:00:00,CRYPTO:SOLUSD,9.2090442,9.97422948,9.03126169,9.23113361,0.0
2021-02-13 01:00:00,CRYPTO:SOLUSD,9.22348987,9.53421886,8.62709545,8.75564153,0.0
2021-02-14 01:00:00,CRYPTO:SOLUSD,8.7617707,9.34813173,8.49636581,8.72189906,0.0
2021-02-15 01:00:00,CRYPTO:SOLUSD,8.72781234,9.55644314,7.72188848,8.85182529,0.0
2021-02-16 01:00:00,CRYPTO:SOLUSD,8.85531121,8.9985726,7.92863476,8.29792163,0.0
2021-02-17 01:00:00,CRYPTO:SOLUSD,8.29005358,8.46038435,7.52312467,8.24614118,0.0
2021-02-18 01:00:00,CRYPTO:SOLUSD,8.24431304,9.37053612,8.23062994,8.99091083,0.0
2021-02-19 01:00:00,CRYPTO:SOLUSD,8.98937682,12.0601228,8.51112728,11.50146178,0.0
2021-02-20 01:00:00,CRYPTO:SOLUSD,11.50173083,11.84421025,9.76310211,9.99348223,0.0
2021-02-21 01:00:00,CRYPTO:SOLUSD,9.99204814,11.69624912,9.84233434,11.0896396,0.0
2021-02-22 01:00:00,CRYPTO:SOLUSD,11.09147721,14.78263647,8.8546749,14.43728769,0.0
2021-02-23 01:00:00,CRYPTO:SOLUSD,14.43438996,15.88066985,11.30637563,15.21662732,0.0
2021-02-24 01:00:00,CRYPTO:SOLUSD,15.22844888,18.24986206,14.75886245,17.21534644,0.0
2021-02-25 01:00:00,CRYPTO:SOLUSD,17.19761044,17.76287547,13.67380348,13.88429239,0.0
2021-02-26 01:00:00,CRYPTO:SOLUSD,13.8382632,15.53013267,13.05666524,13.59952841,0.0
2021-02-27 01:00:00,CRYPTO:SOLUSD,13.59513401,14.82695661,12.97630792,13.22056467,0.0
2021-02-28 01:00:00,CRYPTO:SOLUSD,13.191641,13.85621551,11.36013469,13.12146753,0.0
2021-03-01 01:00:00,CRYPTO:SOLUSD,13.10640099,15.62675483,13.0407212,15.02812778,0.0
2021-03-02 01:00:00,CRYPTO:SOLUSD,14.99667575,15.31424587,13.34468031,13.93317529,0.0
2021-03-03 01:00:00,CRYPTO:SOLUSD,13.97120688,14.77676997,13.70829686,14.0866305,0.0
2021-03-04 01:00:00,CRYPTO:SOLUSD,14.10561532,14.29369317,12.6129408,13.05535132,0.0
2021-03-05 01:00:00,CRYPTO:SOLUSD,13.04787102,13.10155005,12.12068729,12.53518336,0.0
2021-03-06 01:00:00,CRYPTO:SOLUSD,12.53917757,13.32607588,11.86002698,13.05562056,0.0
2021-03-07 01:00:00,CRYPTO:SOLUSD,13.05393775,15.10434201,12.69450411,13.83880356,0.0
2021-03-08 01:00:00,CRYPTO:SOLUSD,13.81102343,13.91972946,12.99958961,13.61570362,0.0
2021-03-09 01:00:00,CRYPTO:SOLUSD,13.61350251,15.01393394,13.23707145,14.87261677,0.0
2021-03-10 01:00:00,CRYPTO:SOLUSD,14.86721041,15.25077983,13.9142692,14.21990216,0.0
2021-03-11 01:00:00,CRYPTO:SOLUSD,14.20604172,16.33624721,13.57254532,16.09405766,0.0
2021-03-12 01:00:00,CRYPTO:SOLUSD,16.07487886,16.51319688,14.08312257,14.5530421,0.0
2021-03-13 01:00:00,CRYPTO:SOLUSD,14.56889704,15.41200777,13.86683692,15.28534873,0.0
2021-03-14 01:00:00,CRYPTO:SOLUSD,15.32007797,15.38231368,14.3136355,14.48031449,0.0
2021-03-15 01:00:00,CRYPTO:SOLUSD,14.47117177,14.81267575,13.47669606,14.14919355,0.0
2021-03-16 01:00:00,CRYPTO:SOLUSD,14.18624208,14.31587019,13.19321028,13.63690575,0.0
2021-03-17 01:00:00,CRYPTO:SOLUSD,13.65168246,14.30373893,13.00823106,14.22029039,0.0
2021-03-18 01:00:00,CRYPTO:SOLUSD,14.20470049,14.76418389,13.93738409,14.23253362,0.0
2021-03-19 01:00:00,CRYPTO:SOLUSD,14.23149632,14.50155435,13.84642034,14.1460768,0.0
2021-03-20 01:00:00,CRYPTO:SOLUSD,14.16246382,14.9928612,14.08023386,14.17136632,0.0
2021-03-21 01:00:00,CRYPTO:SOLUSD,14.16685102,14.38421541,13.62231477,14.33375494,0.0
2021-03-22 01:00:00,CRYPTO:SOLUSD,14.34749188,16.63510081,14.1576803,14.77404932,0.0
2021-03-23 01:00:00,CRYPTO:SOLUSD,14.8255626,15.26996335,14.03552352,14.16197374,0.0
2021-03-24 01:00:00,CRYPTO:SOLUSD,14.17959303,15.37363912,13.55349475,13.59164093,0.0
2021-03-25 01:00:00,CRYPTO:SOLUSD,13.5746883,13.70610832,12.47952323,12.98448975,0.0
2021-03-26 01:00:00,CRYPTO:SOLUSD,12.98169421,14.81444821,12.28389776,14.77567943,0.0
2021-03-27 01:00:00,CRYPTO:SOLUSD,14.76754218,16.83456956,14.7083868,16.46715989,0.0
2021-03-28 01:00:00,CRYPTO:SOLUSD,16.46598697,19.43041571,16.29360072,18.0781902,0.0
2021-03-29 02:00:00,CRYPTO:SOLUSD,18.07781543,19.040965,17.61078052,18.92166734,0.0
2021-03-30 02:00:00,CRYPTO:SOLUSD,18.91987407,20.8659591,18.89331728,19.07811425,0.0
2021-03-31 02:00:00,CRYPTO:SOLUSD,19.08220123,19.88942863,17.9654306,19.4082084,0.0
